job;salary;id;city;year;age
IT-специалист;179636;4136687;Бургос;2016;58
Врач;102118;7847007;Артейхо;2013;51
Инженер;60688;6889513;Белград;2010;41
Строитель;78121;3821026;Махадаонда;2017;37
Продавец;79934;9175801;Санкт-Петербург;2012;38
Медсестра;83192;6564620;Самора;2006;21
Программист;112703;8304502;Мерида;2012;61
Менеджер;84418;1526629;Гранада;2004;46
Менеджер;167334;2013923;Малага;2002;25
Продавец;181115;1781514;Афины;2012;27
